Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,32.364959838709694,22.617921161290322,32.03000000000001,30.0,22.73000000000001,30.0,32.03000000000001,22.73000000000001
2/1980,30.936571310344828,22.420077310344833,30.511111111111113,27.0,22.72962962962963,27.0,30.511111111111113,22.72962962962963
3/1980,32.80834167741936,22.603154806451627,31.752,25.0,22.272,25.0,31.752,22.272
4/1980,33.2017967,22.495285466666665,32.66428571428572,28.0,22.510714285714286,28.0,32.66428571428572,22.510714285714286
5/1980,33.78509606451613,22.51872170967742,33.175862068965536,29.0,22.044827586206893,29.0,33.175862068965536,22.044827586206893
6/1980,34.12879443333332,22.245144399999997,33.67407407407408,27.0,21.462962962962962,27.0,33.67407407407408,21.462962962962962
7/1980,34.81396170967743,21.398337935483877,34.736666666666665,30.0,20.526666666666664,30.0,34.736666666666665,20.526666666666664
8/1980,35.11219896774194,21.62033629032258,36.08275862068965,29.0,19.389655172413796,29.0,36.08275862068965,19.389655172413796
9/1980,34.66693483333334,22.00063153333333,36.648,25.0,21.86,25.0,36.648,21.86
10/1980,34.847390000000004,21.909326096774198,37.465384615384615,26.0,22.78076923076923,26.0,37.465384615384615,22.78076923076923
11/1980,33.76058676666667,22.401136266666665,34.92592592592593,27.0,23.025925925925932,27.0,34.92592592592593,23.025925925925932
12/1980,33.079644290322584,22.39361341935483,33.753846153846155,26.0,22.669230769230772,26.0,33.753846153846155,22.669230769230772
1/1981,32.170051290322576,22.484913935483874,31.95555555555555,27.0,22.568,25.0,31.95555555555555,22.568
2/1981,33.06182117857143,22.516623428571425,33.14545454545454,22.0,22.395454545454548,22.0,33.14545454545454,22.395454545454548
3/1981,32.56281270967742,22.61665003225807,32.54666666666667,30.0,22.74,30.0,32.54666666666667,22.74
4/1981,33.33824946666667,21.73046723333334,32.97241379310345,29.0,22.017241379310345,29.0,32.97241379310345,22.017241379310345
5/1981,33.24362948387097,22.11787935483871,33.160000000000004,30.0,21.959999999999994,30.0,33.160000000000004,21.959999999999994
6/1981,34.1205757,20.635243233333334,34.57272727272727,22.0,19.30909090909091,22.0,34.57272727272727,19.30909090909091
7/1981,34.66513358064516,20.310594870967737,34.89090909090909,22.0,18.26,20.0,34.89090909090909,18.26
