Data,TempMaxPrevista,TempMinPrevista,TempMaxINMET,NumDiasTempMaxINMET,TempMinINMET,NumDiasTempMinINMET,TempMaxCorrigida,TempMinCorrigida
1/1980,29.415305258064517,22.8108410967742,29.161290322580648,31.0,22.71935483870968,31.0,29.161290322580648,22.71935483870968
2/1980,29.797501137931032,23.03053989655173,30.29523809523809,21.0,23.714285714285715,21.0,30.29523809523809,23.714285714285715
3/1980,29.99578806451613,22.947344419354838,30.916000000000004,25.0,23.516,25.0,30.916000000000004,23.516
4/1980,28.47054733333333,22.1584145,28.56296296296296,27.0,22.41851851851852,27.0,28.56296296296296,22.41851851851852
5/1980,28.297825,21.341112032258067,28.0625,24.0,21.3625,24.0,28.0625,21.3625
6/1980,26.721570433333333,20.308907099999995,25.48947368421053,19.0,19.568421052631574,19.0,25.48947368421053,19.568421052631574
7/1980,27.535308032258055,20.63234858064516,26.96,15.0,19.47333333333334,15.0,26.96,19.47333333333334
8/1980,27.04801270967742,20.211594870967737,26.825,24.0,20.133333333333333,24.0,26.825,20.133333333333333
9/1980,27.490979466666666,21.011284999999994,26.34615384615385,13.0,19.676923076923075,13.0,26.34615384615385,19.676923076923075
10/1980,28.21711354838709,21.17881412903226,27.816666666666666,24.0,20.925,24.0,27.816666666666666,20.925
11/1980,28.06276266666667,21.82256619999999,27.41111111111111,9.0,21.655555555555548,9.0,27.41111111111111,21.655555555555548
12/1980,29.22236580645162,22.569705096774197,30.02631578947368,19.0,23.48421052631579,19.0,30.02631578947368,23.48421052631579
1/1981,30.21579138709677,23.228240548387102,30.651724137931037,29.0,23.517241379310345,29.0,30.651724137931037,23.517241379310345
2/1981,29.8921725,22.783234499999992,30.685714285714283,21.0,23.652380952380952,21.0,30.685714285714283,23.652380952380952
3/1981,29.554253258064502,22.912673451612907,29.980952380952377,21.0,23.614285714285717,21.0,29.980952380952377,23.614285714285717
4/1981,27.99207163333334,21.390166633333333,27.66363636363636,22.0,21.50909090909091,22.0,27.66363636363636,21.50909090909091
5/1981,27.088755774193547,20.533453451612907,26.495238095238104,21.0,20.257142857142856,21.0,26.495238095238104,20.257142857142856
6/1981,26.35093553333333,19.97410156666666,25.585,20.0,19.61,20.0,25.585,19.61
7/1981,26.60939529032257,20.16001916129032,25.347058823529416,17.0,19.264705882352942,17.0,25.347058823529416,19.264705882352942
8/1981,26.559846935483872,19.902374193548386,25.68999999999999,20.0,19.160000000000004,20.0,25.68999999999999,19.160000000000004
9/1981,27.61332186666666,20.427108666666665,27.688461538461546,26.0,20.46153846153846,26.0,27.688461538461546,20.46153846153846
10/1981,27.146131580645164,20.95192264516129,26.152380952380952,21.0,20.34285714285714,21.0,26.152380952380952,20.34285714285714
11/1981,28.0706251,21.63470533333333,27.92,20.0,21.94,20.0,27.92,21.94
12/1981,29.560071483870967,22.51499774193548,30.00869565217392,23.0,22.88260869565217,23.0,30.00869565217392,22.88260869565217
1/1982,28.74905129032258,22.127888612903227,29.13888888888889,18.0,22.55,18.0,29.13888888888889,22.55
2/1982,30.234904857142855,23.33064878571429,29.828571428571426,28.0,23.435714285714283,28.0,29.828571428571426,23.435714285714283
3/1982,27.72081522580645,21.10107041935484,31.4,1.0,25.5,1.0,31.4,25.5
4/1982,27.5917686,20.65090326666667,,,,,27.5917686,20.65090326666667
5/1982,26.604342451612897,20.181037258064517,25.18,15.0,20.086666666666666,15.0,25.18,20.086666666666666
6/1982,27.27560506666667,19.906711133333328,27.27,30.0,19.906666666666673,30.0,27.27,19.906666666666673
7/1982,26.237891032258066,19.69076883870968,25.921739130434784,23.0,20.03043478260869,23.0,25.921739130434784,20.03043478260869
8/1982,27.49230203225807,20.627337903225808,22.7,1.0,18.9,1.0,22.7,18.9
9/1982,27.60126816666666,20.790108766666666,,,,,27.60126816666666,20.790108766666666
10/1982,27.70246435483871,20.94286651612903,,,,,27.70246435483871,20.94286651612903
11/1982,27.77534170000001,20.525433100000004,,,,,27.77534170000001,20.525433100000004
12/1982,27.592220387096766,20.85479964516129,,,,,27.592220387096766,20.85479964516129
1/1983,27.24946219354839,20.827074161290323,,,,,27.24946219354839,20.827074161290323
2/1983,27.46348267857143,20.580719071428565,,,,,27.46348267857143,20.580719071428565
3/1983,27.624244032258066,20.661169193548385,,,,,27.624244032258066,20.661169193548385
4/1983,27.47247033333333,20.614410833333334,,,,,27.47247033333333,20.614410833333334
5/1983,27.554226225806453,20.470972193548388,,,,,27.554226225806453,20.470972193548388
6/1983,27.637316500000004,20.375148966666668,,,,,27.637316500000004,20.375148966666668
7/1983,27.567737,20.554750967741924,,,,,27.567737,20.554750967741924
8/1983,27.716942741935483,20.42805138709677,,,,,27.716942741935483,20.42805138709677
9/1983,27.0833952,20.992706966666667,,,,,27.0833952,20.992706966666667
10/1983,27.29251077419355,20.77695906451613,,,,,27.29251077419355,20.77695906451613
11/1983,27.30442113333333,20.831050466666667,,,,,27.30442113333333,20.831050466666667
12/1983,27.350918612903232,20.762109580645163,,,,,27.350918612903232,20.762109580645163
1/1984,28.039414516129032,21.99761993548386,,,,,28.039414516129032,21.99761993548386
2/1984,28.038322827586203,22.037061999999995,,,,,28.038322827586203,22.037061999999995
3/1984,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
4/1984,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
5/1984,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
6/1984,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
7/1984,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
8/1984,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
9/1984,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
10/1984,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
11/1984,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
12/1984,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
1/1985,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
2/1985,28.038322857142855,22.037061999999995,,,,,28.038322857142855,22.037061999999995
3/1985,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
4/1985,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
5/1985,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
6/1985,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
7/1985,28.038322903225797,22.037061999999995,,,,,28.038322903225797,22.037061999999995
8/1985,28.038322903225797,22.037061999999995,,,,,28.038322903225797,22.037061999999995
9/1985,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
10/1985,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
11/1985,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
12/1985,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
1/1986,28.4838280967742,21.55469677419355,,,,,28.4838280967742,21.55469677419355
2/1986,27.709714642857136,22.1385645,,,,,27.709714642857136,22.1385645
3/1986,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
4/1986,28.423956699999994,21.679177033333332,,,,,28.423956699999994,21.679177033333332
5/1986,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
6/1986,28.42436073333333,21.799532700000004,,,,,28.42436073333333,21.799532700000004
7/1986,28.18320467741935,21.91218974193548,,,,,28.18320467741935,21.91218974193548
8/1986,28.433250322580644,21.769375096774198,,,,,28.433250322580644,21.769375096774198
9/1986,28.27709943333333,21.890661700000006,,,,,28.27709943333333,21.890661700000006
10/1986,27.979448129032264,21.941238064516128,,,,,27.979448129032264,21.941238064516128
11/1986,28.4376261,21.60534676666667,,,,,28.4376261,21.60534676666667
12/1986,27.53811232258064,22.215758967741934,,,,,27.53811232258064,22.215758967741934
1/1987,28.409088322580644,21.68870477419356,,,,,28.409088322580644,21.68870477419356
2/1987,28.829784571428572,21.447313750000006,,,,,28.829784571428572,21.447313750000006
3/1987,28.22328854838709,21.92440693548387,,,,,28.22328854838709,21.92440693548387
4/1987,28.6247051,21.6549509,,,,,28.6247051,21.6549509
5/1987,28.10924554838709,21.976481580645167,,,,,28.10924554838709,21.976481580645167
6/1987,28.05826360000001,22.020594633333324,,,,,28.05826360000001,22.020594633333324
7/1987,28.40733506451614,21.750725677419357,,,,,28.40733506451614,21.750725677419357
8/1987,28.331110645161285,21.75645316129032,,,,,28.331110645161285,21.75645316129032
9/1987,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
10/1987,27.970134999999992,21.98848083870968,,,,,27.970134999999992,21.98848083870968
11/1987,27.597117833333346,22.218411100000004,,,,,27.597117833333346,22.218411100000004
12/1987,27.576723451612896,22.23032722580645,,,,,27.576723451612896,22.23032722580645
1/1988,28.26396416129032,21.626225,,,,,28.26396416129032,21.626225
2/1988,28.579005965517243,21.55234941379311,,,,,28.579005965517243,21.55234941379311
3/1988,28.249564032258053,21.857391935483875,,,,,28.249564032258053,21.857391935483875
4/1988,28.027443533333336,21.98597050000001,,,,,28.027443533333336,21.98597050000001
5/1988,28.411073935483877,21.80196741935484,,,,,28.411073935483877,21.80196741935484
6/1988,27.98953626666667,22.0323305,,,,,27.98953626666667,22.0323305
7/1988,28.102810677419356,21.993490516129032,,,,,28.102810677419356,21.993490516129032
8/1988,27.961972741935483,22.025064354838705,,,,,27.961972741935483,22.025064354838705
9/1988,27.93012673333333,21.97948626666668,,,,,27.93012673333333,21.97948626666668
10/1988,27.25691399999999,22.499439709677418,,,,,27.25691399999999,22.499439709677418
11/1988,27.3852821,22.32453826666667,,,,,27.3852821,22.32453826666667
12/1988,27.937000903225808,22.000935677419356,,,,,27.937000903225808,22.000935677419356
1/1989,28.56998819354839,21.56649138709677,,,,,28.56998819354839,21.56649138709677
2/1989,28.769308642857148,21.317280392857143,,,,,28.769308642857148,21.317280392857143
3/1989,28.449354709677426,21.716849258064514,,,,,28.449354709677426,21.716849258064514
4/1989,28.8027658,21.411391000000002,,,,,28.8027658,21.411391000000002
5/1989,28.130309322580644,21.975609451612897,,,,,28.130309322580644,21.975609451612897
6/1989,27.7989325,22.167986966666664,,,,,27.7989325,22.167986966666664
7/1989,28.429047322580647,21.745949032258068,,,,,28.429047322580647,21.745949032258068
8/1989,27.777362129032262,22.18618641935484,,,,,27.777362129032262,22.18618641935484
9/1989,27.88929460000001,22.060017500000004,,,,,27.88929460000001,22.060017500000004
10/1989,27.32541777419355,22.414027000000004,,,,,27.32541777419355,22.414027000000004
11/1989,27.05424636666667,22.5732005,,,,,27.05424636666667,22.5732005
12/1989,27.622550838709675,22.24320629032258,,,,,27.622550838709675,22.24320629032258
1/1990,31.904759,23.58835106451613,31.55483870967741,31.0,23.65483870967741,31.0,31.55483870967741,23.65483870967741
2/1990,32.082134499999995,24.123675285714285,32.0,28.0,24.05,28.0,32.0,24.05
3/1990,32.3526226451613,24.329489000000002,32.20322580645161,31.0,24.41290322580645,31.0,32.20322580645161,24.41290322580645
4/1990,31.535693466666668,23.83162543333333,31.513333333333332,30.0,23.89666666666667,30.0,31.513333333333332,23.89666666666667
5/1990,27.796804870967748,21.386308935483875,28.03870967741936,31.0,20.929032258064517,31.0,28.03870967741936,20.929032258064517
6/1990,26.98562553333333,21.0913937,27.18518518518519,27.0,20.414814814814815,27.0,27.18518518518519,20.414814814814815
7/1990,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
8/1990,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
9/1990,28.0383228,22.037061999999995,,,,,28.0383228,22.037061999999995
10/1990,28.30653206451613,21.728162548387093,27.43,10.0,21.76,10.0,27.43,21.76
11/1990,29.06291213333333,22.236092166666666,29.57,20.0,22.7,20.0,29.57,22.7
12/1990,28.82459106451613,22.58137438709677,30.607142857142858,14.0,23.32857142857143,14.0,30.607142857142858,23.32857142857143
1/1991,28.69371093548386,22.359380580645162,30.7875,8.0,23.8,7.0,30.7875,23.8
2/1991,29.273731464285717,22.718283357142855,30.02105263157895,19.0,23.242105263157892,19.0,30.02105263157895,23.242105263157892
3/1991,29.62660583870968,22.505593516129032,30.195000000000004,20.0,23.460000000000004,20.0,30.195000000000004,23.460000000000004
4/1991,29.45935619999999,22.159429766666676,29.545454545454536,22.0,22.581818181818186,22.0,29.545454545454536,22.581818181818186
5/1991,27.51997377419355,21.482271322580644,27.15238095238095,21.0,20.904761904761912,21.0,27.15238095238095,20.904761904761912
6/1991,27.0958278,21.257570166666664,26.935,20.0,20.05,20.0,26.935,20.05
7/1991,25.37284358064516,20.13588406451613,25.24516129032258,31.0,19.393548387096775,31.0,25.24516129032258,19.393548387096775
8/1991,26.060784161290325,20.263023,25.71935483870968,31.0,19.164516129032254,31.0,25.71935483870968,19.164516129032254
9/1991,25.423644466666666,20.614797833333327,25.700000000000006,30.0,19.293333333333337,30.0,25.700000000000006,19.293333333333337
10/1991,27.219058129032256,21.103469903225808,27.083870967741934,31.0,21.016129032258068,31.0,27.083870967741934,21.016129032258068
11/1991,28.32262980000001,21.94546006666667,28.272413793103446,29.0,22.075862068965527,29.0,28.272413793103446,22.075862068965527
12/1991,30.66148929032258,23.17810180645161,30.93225806451613,31.0,23.78333333333333,30.0,30.93225806451613,23.78333333333333
1/1992,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
2/1992,28.70082575862069,20.672389689655173,29.772413793103446,29.0,23.20689655172414,29.0,29.772413793103446,23.20689655172414
3/1992,28.03832277419355,22.037061999999995,,,,,28.03832277419355,22.037061999999995
4/1992,28.36893143333333,21.06319436666666,29.95333333333333,30.0,23.23333333333333,30.0,29.95333333333333,23.23333333333333
5/1992,28.36026177419355,20.850938064516125,29.529032258064518,31.0,22.293548387096767,31.0,29.529032258064518,22.293548387096767
6/1992,27.426992900000002,20.338030233333328,27.5,30.0,20.476666666666674,30.0,27.5,20.476666666666674
7/1992,25.80229196774193,19.293835548387094,25.63548387096775,31.0,19.338709677419352,31.0,25.63548387096775,19.338709677419352
8/1992,25.37811064516129,19.22364283870968,25.229032258064517,31.0,19.28064516129032,31.0,25.229032258064517,19.28064516129032
9/1992,25.64594820000001,19.838579133333333,25.56666666666667,30.0,20.0,30.0,25.56666666666667,20.0
10/1992,27.307868322580646,21.218107967741943,27.112903225806445,31.0,21.2258064516129,31.0,27.112903225806445,21.2258064516129
11/1992,28.10784983333333,21.760634933333336,27.55,30.0,21.610000000000007,30.0,27.55,21.610000000000007
12/1992,28.705357129032254,22.35446648387097,28.24193548387096,31.0,22.135483870967736,31.0,28.24193548387096,22.135483870967736
1/1993,31.58412319354839,23.71141035483871,30.999999999999996,31.0,23.62903225806452,31.0,30.999999999999996,23.62903225806452
2/1993,32.26278153571429,24.052291928571428,31.667857142857148,28.0,24.014285714285712,28.0,31.667857142857148,24.014285714285712
3/1993,32.69590341935484,24.36285025806452,32.59677419354838,31.0,24.345161290322586,31.0,32.59677419354838,24.345161290322586
4/1993,30.33958523333333,23.1897396,30.05,30.0,23.08,30.0,30.05,23.08
5/1993,27.789949322580647,21.168287032258068,27.441935483870967,31.0,21.229032258064514,31.0,27.441935483870967,21.229032258064514
6/1993,25.977306566666666,19.486929066666665,25.78333333333333,30.0,19.536666666666672,30.0,25.78333333333333,19.536666666666672
7/1993,26.78865629032258,20.008555161290328,26.73548387096775,31.0,20.287096774193547,31.0,26.73548387096775,20.287096774193547
8/1993,25.938934032258057,19.29061641935484,25.73225806451613,31.0,19.11290322580645,31.0,25.73225806451613,19.11290322580645
9/1993,27.78832673333333,20.803387500000003,27.626666666666665,30.0,20.59000000000001,30.0,27.626666666666665,20.59000000000001
10/1993,28.437755677419357,21.493020870967737,27.99677419354839,31.0,21.53870967741936,31.0,27.99677419354839,21.53870967741936
11/1993,30.301382766666666,22.93001976666666,29.38666666666667,30.0,22.76,30.0,29.38666666666667,22.76
12/1993,30.292360161290322,23.170184258064516,29.480645161290326,31.0,23.248387096774195,31.0,29.480645161290326,23.248387096774195
1/1994,31.02679922580645,23.551356903225802,30.816129032258054,31.0,23.58064516129032,31.0,30.816129032258054,23.58064516129032
2/1994,32.54171932142858,24.639894464285714,32.042857142857144,28.0,24.657142857142855,28.0,32.042857142857144,24.657142857142855
3/1994,30.265100354838708,23.458050451612912,30.37096774193548,31.0,23.51612903225807,31.0,30.37096774193548,23.51612903225807
4/1994,29.03633593333333,22.2802038,28.66333333333333,30.0,22.38666666666667,30.0,28.66333333333333,22.38666666666667
5/1994,29.16767251612902,22.010819064516124,28.916129032258066,31.0,22.077419354838714,31.0,28.916129032258066,22.077419354838714
